item,co2,unit,category,source
"almond milk, unsweetened, chocolate",3.15,0.031,food,Existing Dataset
rice milk,3.15,0.037,food,Existing Dataset
coconut milk,3.15,0.0,food,Existing Dataset
"yogurt, nfs",2.2,0.013,food,Existing Dataset
"yogurt, greek, ns as to type of milk or flavor",2.2,0.021,food,Existing Dataset
"yogurt, ns as to type of milk or flavor",2.2,0.013,food,Existing Dataset
"yogurt, ns as to type of milk, plain",2.2,0.013,food,Existing Dataset
"yogurt, whole milk, plain",2.2,0.009,food,Existing Dataset
"yogurt, low fat milk, plain",2.2,0.013,food,Existing Dataset
"yogurt, nonfat milk, plain",2.2,0.015,food,Existing Dataset
"yogurt, greek, ns as to type of milk, plain",2.2,0.021,food,Existing Dataset
"yogurt, greek, whole milk, plain",2.2,0.017,food,Existing Dataset
"yogurt, greek, low fat milk, plain",2.2,0.021,food,Existing Dataset
"yogurt, greek, nonfat milk, plain",2.2,0.017,food,Existing Dataset
"yogurt, ns as to type of milk, fruit",2.2,0.023,food,Existing Dataset
"yogurt, whole milk, fruit",2.2,0.02,food,Existing Dataset
"yogurt, low fat milk, fruit",2.2,0.023,food,Existing Dataset
"yogurt, nonfat milk, fruit",2.2,0.025,food,Existing Dataset
"yogurt, greek, ns as to type of milk, fruit",2.2,0.019,food,Existing Dataset
"yogurt, greek, whole milk, fruit",2.2,0.019,food,Existing Dataset
"yogurt, greek, low fat milk, fruit",2.2,0.019,food,Existing Dataset
"yogurt, greek, nonfat milk, fruit",2.2,0.02,food,Existing Dataset
"yogurt, ns as to type of milk, flavors other than fruit",2.2,0.013,food,Existing Dataset
"yogurt, whole milk, flavors other than fruit",2.2,0.009,food,Existing Dataset
"yogurt, low fat milk, flavors other than fruit",2.2,0.013,food,Existing Dataset
"yogurt, nonfat milk, flavors other than fruit",2.2,0.015,food,Existing Dataset
"yogurt, greek, ns as to type of milk, flavors other than fruit",2.2,0.018,food,Existing Dataset
"yogurt, greek, whole milk, flavors other than fruit",2.2,0.018,food,Existing Dataset
"yogurt, greek, low fat milk, flavors other than fruit",2.2,0.018,food,Existing Dataset
"yogurt, greek, nonfat milk, flavors other than fruit",2.2,0.018,food,Existing Dataset
"yogurt, greek, with oats",2.2,0.063,food,Existing Dataset
"yogurt, liquid",2.2,0.021,food,Existing Dataset
"yogurt parfait, low fat, with fruit",3.15,0.054,food,Existing Dataset
"frozen yogurt, nfs",3.15,0.009,food,Existing Dataset
"frozen yogurt, vanilla",3.15,0.009,food,Existing Dataset
"frozen yogurt, chocolate",3.15,0.054,food,Existing Dataset
"frozen yogurt, soft serve, vanilla",3.15,0.04,food,Existing Dataset
"frozen yogurt, soft serve, chocolate",3.15,0.115,food,Existing Dataset
frozen yogurt sandwich,3.15,0.123,food,Existing Dataset
"frozen yogurt bar, vanilla",3.15,0.009,food,Existing Dataset
"frozen yogurt bar, chocolate",3.15,0.054,food,Existing Dataset
"frozen yogurt cone, chocolate",3.15,0.06,food,Existing Dataset
"frozen yogurt cone, vanilla",3.15,0.017,food,Existing Dataset
"frozen yogurt cone, vanilla, waffle cone",3.15,0.024,food,Existing Dataset
"frozen yogurt cone, chocolate, waffle cone",3.15,0.067,food,Existing Dataset
"yogurt, whole milk, baby food",2.2,0.009,food,Existing Dataset
"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, nfs",2.2,0.023,food,Existing Dataset
"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",2.2,0.031,food,Existing Dataset
"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus dha",2.2,0.023,food,Existing Dataset
"chocolate milk, nfs",3.15,0.075,food,Existing Dataset
"chocolate milk, ready to drink, whole",3.15,0.065,food,Existing Dataset
"chocolate milk, ready to drink, reduced fat",3.15,0.075,food,Existing Dataset
"chocolate milk, ready to drink, fat free",3.15,0.075,food,Existing Dataset
"chocolate milk, ready to drink, low fat",3.15,0.028,food,Existing Dataset
"chocolate milk, ready to drink, reduced sugar, ns as to milk",3.15,0.018,food,Existing Dataset
"chocolate milk, ready to drink, low fat (nesquik)",3.15,0.028,food,Existing Dataset
"chocolate milk, ready to drink, fat free (nesquik)",3.15,0.075,food,Existing Dataset
"chocolate milk, ready to drink, low fat, no sugar added (nesquik)",3.15,0.028,food,Existing Dataset
"chocolate milk, made from dry mix, ns as to type of milk",3.15,0.057,food,Existing Dataset
"chocolate milk, made from dry mix with whole milk",3.15,0.057,food,Existing Dataset
"chocolate milk, made from dry mix with reduced fat milk",3.15,0.057,food,Existing Dataset
"chocolate milk, made from dry mix with low fat milk",3.15,0.057,food,Existing Dataset
"chocolate milk, made from dry mix with fat free milk",3.15,0.058,food,Existing Dataset
"chocolate milk, made from dry mix with non-dairy milk",3.15,0.142,food,Existing Dataset
"chocolate milk, made from reduced sugar mix, ns as to type of milk",3.15,0.079,food,Existing Dataset
"chocolate milk, made from reduced sugar mix with whole milk",3.15,0.079,food,Existing Dataset
"chocolate milk, made from reduced sugar mix with reduced fat milk",3.15,0.079,food,Existing Dataset
"chocolate milk, made from reduced sugar mix with low fat milk",3.15,0.079,food,Existing Dataset
"chocolate milk, made from reduced sugar mix with fat free milk",3.15,0.08,food,Existing Dataset
"chocolate milk, made from reduced sugar mix with non-dairy milk",3.15,0.166,food,Existing Dataset
"chocolate milk, made from dry mix, ns as to type of milk (nesquik)",3.15,0.057,food,Existing Dataset
"chocolate milk, made from dry mix with whole milk (nesquik)",3.15,0.057,food,Existing Dataset
"chocolate milk, made from dry mix with reduced fat milk (nesquik)",3.15,0.057,food,Existing Dataset
"chocolate milk, made from dry mix with low fat milk (nesquik)",3.15,0.057,food,Existing Dataset
"chocolate milk, made from dry mix with fat free milk (nesquik)",3.15,0.058,food,Existing Dataset
"chocolate milk, made from dry mix with non-dairy milk (nesquik)",3.15,0.142,food,Existing Dataset
"chocolate milk, made from no sugar added dry mix, ns as to type of milk (nesquik)",3.15,0.079,food,Existing Dataset
"chocolate milk, made from no sugar added dry mix with whole milk (nesquik)",3.15,0.079,food,Existing Dataset
"chocolate milk, made from no sugar added dry mix with reduced fat milk (nesquik)",3.15,0.079,food,Existing Dataset
"chocolate milk, made from no sugar added dry mix with low fat milk (nesquik)",3.15,0.079,food,Existing Dataset
"chocolate milk, made from no sugar added dry mix with fat free milk  (nesquik)",3.15,0.08,food,Existing Dataset
"chocolate milk, made from no sugar added dry mix with non-dairy milk (nesquik)",3.15,0.166,food,Existing Dataset
"chocolate milk, made from syrup, ns as to type of milk",3.15,0.042,food,Existing Dataset
"chocolate milk, made from syrup with whole milk",3.15,0.042,food,Existing Dataset
"chocolate milk, made from syrup with reduced fat milk",3.15,0.042,food,Existing Dataset
"chocolate milk, made from syrup with low fat milk",3.15,0.042,food,Existing Dataset
"chocolate milk, made from syrup with fat free milk",3.15,0.043,food,Existing Dataset
"chocolate milk, made from syrup with non-dairy milk",3.15,0.121,food,Existing Dataset
"chocolate milk, made from light syrup, ns as to type of milk",3.15,0.035,food,Existing Dataset
"chocolate milk, made from light syrup with whole milk",3.15,0.035,food,Existing Dataset
"chocolate milk, made from light syrup with reduced fat milk",3.15,0.035,food,Existing Dataset
"chocolate milk, made from light syrup with low fat milk",3.15,0.035,food,Existing Dataset
"chocolate milk, made from light syrup with fat free milk",3.15,0.036,food,Existing Dataset
"chocolate milk, made from light syrup with non-dairy milk",3.15,0.115,food,Existing Dataset
"chocolate milk, made from sugar free syrup, ns as to type of milk",3.15,0.072,food,Existing Dataset
"chocolate milk, made from sugar free syrup with whole milk",3.15,0.072,food,Existing Dataset
"chocolate milk, made from sugar free syrup with reduced fat milk",3.15,0.072,food,Existing Dataset
"chocolate milk, made from sugar free syrup with low fat milk",3.15,0.072,food,Existing Dataset
"chocolate milk, made from sugar free syrup with fat free milk",3.15,0.073,food,Existing Dataset
"chocolate milk, made from sugar free syrup with non-dairy milk",3.15,0.151,food,Existing Dataset
"strawberry milk, nfs",3.15,0.001,food,Existing Dataset
"strawberry milk, whole",3.15,0.001,food,Existing Dataset
"strawberry milk, reduced fat",3.15,0.001,food,Existing Dataset
"strawberry milk, low fat",3.15,0.001,food,Existing Dataset
"strawberry milk, fat free",3.15,0.002,food,Existing Dataset
"strawberry milk, reduced sugar",3.15,0.001,food,Existing Dataset
"strawberry milk, non-dairy",3.15,0.085,food,Existing Dataset
"milk, malted",3.15,0.079,food,Existing Dataset
"milk shake, home recipe, chocolate",3.15,0.052,food,Existing Dataset
"milk shake, home recipe, flavors other than chocolate",3.15,0.009,food,Existing Dataset
"milk shake, home recipe, chocolate, light",3.15,0.04,food,Existing Dataset
"milk shake, home recipe, flavors other than chocolate, light",3.15,0.007,food,Existing Dataset
milk shake with malt,3.15,0.016,food,Existing Dataset
"milk shake, fast food, chocolate",3.15,0.177,food,Existing Dataset
"milk shake, fast food, flavors other than chocolate",3.15,0.103,food,Existing Dataset
"milk shake, bottled, chocolate",3.15,0.177,food,Existing Dataset
"milk shake, bottled, flavors other than chocolate",3.15,0.103,food,Existing Dataset
chocolate milk drink,3.15,0.074,food,Existing Dataset
"milk, dry, not reconstituted, ns as to fat content",3.15,0.041,food,Existing Dataset
"milk, dry, not reconstituted, whole",3.15,0.08,food,Existing Dataset
"milk, dry, not reconstituted, low fat (1%)",3.15,0.041,food,Existing Dataset
"milk, dry, not reconstituted, fat free (skim)",3.15,0.041,food,Existing Dataset
"milk, malted, dry mix, not reconstituted",3.15,1.818,food,Existing Dataset
"coffee creamer, nfs",28.53,0.0,food,Existing Dataset
"coffee creamer, liquid",28.53,0.0,food,Existing Dataset
"coffee creamer, liquid, flavored",28.53,0.142,food,Existing Dataset
"coffee creamer, liquid, fat free",28.53,0.0,food,Existing Dataset
"coffee creamer, liquid, fat free, flavored",28.53,0.002,food,Existing Dataset
"coffee creamer, liquid, fat free, sugar free, flavored",28.53,0.0,food,Existing Dataset
"coffee creamer, liquid, sugar free, flavored",28.53,0.0,food,Existing Dataset
"coffee creamer, powder",28.53,0.018,food,Existing Dataset
"coffee creamer, powder, flavored",28.53,0.135,food,Existing Dataset
"coffee creamer, powder, fat free",28.53,0.01,food,Existing Dataset
"coffee creamer,powder, fat free, flavored",28.53,0.01,food,Existing Dataset
"coffee creamer,powder, sugar free, flavored",28.53,0.018,food,Existing Dataset
"coffee creamer, soy, liquid",28.53,0.0,food,Existing Dataset
"milk dessert or milk candy, puerto rican style",3.15,0.004,food,Existing Dataset
"cheese, nfs",23.88,0.031,food,Existing Dataset
"cheese, blue or roquefort",23.88,0.04,food,Existing Dataset
"cheese, brick",23.88,0.024,food,Existing Dataset
"cheese, camembert",23.88,0.021,food,Existing Dataset
"cheese, brie",23.88,0.019,food,Existing Dataset
"cheese, cheddar",23.88,0.033,food,Existing Dataset
"cheese, cheddar, reduced fat",23.88,0.043,food,Existing Dataset
"cheese, cheddar, nonfat or fat free",23.88,0.021,food,Existing Dataset
"cheese, colby",23.88,0.042,food,Existing Dataset
"cheese, colby jack",23.88,0.037,food,Existing Dataset
"cheese, feta",23.88,0.032,food,Existing Dataset
"cheese, fontina",23.88,0.025,food,Existing Dataset
"cheese, goat",23.88,0.564,food,Existing Dataset
"cheese, gouda or edam",23.88,0.036,food,Existing Dataset
"cheese, gruyere",23.88,0.032,food,Existing Dataset
"cheese, limburger",23.88,0.021,food,Existing Dataset
"cheese, monterey",23.88,0.032,food,Existing Dataset
"cheese, monterey, reduced fat",23.88,0.032,food,Existing Dataset
"cheese, mozzarella, nfs",23.88,0.035,food,Existing Dataset
"cheese, mozzarella, part skim",23.88,0.035,food,Existing Dataset
"cheese, mozzarella, reduced sodium",23.88,0.027,food,Existing Dataset
"cheese, mozzarella, nonfat or fat free",23.88,0.034,food,Existing Dataset
"cheese, muenster",23.88,0.031,food,Existing Dataset
"cheese, muenster, reduced fat",23.88,0.031,food,Existing Dataset
"cheese, parmesan, dry grated",23.88,0.04,food,Existing Dataset
"cheese, parmesan, dry grated, reduced fat",23.88,0.03,food,Existing Dataset
"cheese, parmesan, hard",23.88,0.04,food,Existing Dataset
"cheese, parmesan, dry grated, fat free",23.88,0.02,food,Existing Dataset
"cheese, port du salut",23.88,0.036,food,Existing Dataset
"cheese, provolone",23.88,0.026,food,Existing Dataset
"cheese, provolone, reduced fat",23.88,0.026,food,Existing Dataset
"cheese, swiss",23.88,0.047,food,Existing Dataset
"cheese, swiss, reduced sodium",23.88,0.032,food,Existing Dataset
"cheese, swiss, reduced fat",23.88,0.027,food,Existing Dataset
"cheese, swiss, nonfat or fat free",23.88,0.027,food,Existing Dataset
"cheese, cheddar, reduced sodium",23.88,0.036,food,Existing Dataset
"cheese, mexican blend",23.88,0.025,food,Existing Dataset
"cheese, mexican blend, reduced fat",23.88,0.021,food,Existing Dataset
"cheese, cottage, nfs",23.88,0.03,food,Existing Dataset
"cheese, cottage, creamed, large or small curd",23.88,0.029,food,Existing Dataset
"cottage cheese, farmer's",23.88,0.027,food,Existing Dataset
"cheese, ricotta",23.88,0.017,food,Existing Dataset
"cheese, cottage, with fruit",23.88,0.036,food,Existing Dataset
"cheese, cottage, with vegetables",23.88,0.038,food,Existing Dataset
"cheese, cottage, dry curd",23.88,0.03,food,Existing Dataset
"cheese, cottage, salted, dry curd",23.88,0.03,food,Existing Dataset
puerto rican white cheese,23.88,0.033,food,Existing Dataset
"cheese, cottage, low fat",23.88,0.03,food,Existing Dataset
"cheese, cottage, lowfat, with fruit",23.88,0.055,food,Existing Dataset
"cheese, cottage, lowfat, low sodium",23.88,0.028,food,Existing Dataset
"cheese, cottage, lowfat, lactose reduced",23.88,0.03,food,Existing Dataset
"cream cheese, regular, plain",23.88,0.018,food,Existing Dataset
"cream cheese, regular, flavored",23.88,0.03,food,Existing Dataset
"cream cheese, light",23.88,0.032,food,Existing Dataset
"cheese, american and swiss blends",23.88,0.046,food,Existing Dataset
"cheese, american",23.88,0.027,food,Existing Dataset
"cheese, american, reduced fat",23.88,0.03,food,Existing Dataset
"cheese, american, nonfat or fat free",23.88,0.559,food,Existing Dataset
"cheese, american, reduced sodium",23.88,0.03,food,Existing Dataset
"cheese spread, american or cheddar cheese base, reduced fat",23.88,0.032,food,Existing Dataset
"cream cheese spread, fat free",23.88,0.036,food,Existing Dataset
"cheese, processed cheese food",23.88,0.027,food,Existing Dataset
"cheese, processed, with vegetables",23.88,0.027,food,Existing Dataset
"cheese,  with wine",23.88,0.027,food,Existing Dataset
"cheese spread, american or cheddar cheese base",23.88,0.033,food,Existing Dataset
"cheese spread, swiss cheese base",23.88,0.033,food,Existing Dataset
"cheese spread, cream cheese, regular",23.88,0.015,food,Existing Dataset
"cheese spread, cream cheese, light",23.88,0.032,food,Existing Dataset
"cheese spread, pressurized can",23.88,0.033,food,Existing Dataset
imitation cheese,23.88,0.03,food,Existing Dataset
"cheese, cottage cheese, with gelatin dessert",23.88,0.027,food,Existing Dataset
"cheese, cottage cheese, with gelatin dessert and fruit",23.88,0.046,food,Existing Dataset
"cheese, cottage cheese, with gelatin dessert and vegetables",23.88,0.029,food,Existing Dataset
cheese ball,23.88,0.36,food,Existing Dataset
cheese dip with chili pepper,23.88,0.004,food,Existing Dataset
cheese dip,23.88,0.023,food,Existing Dataset
topping from cheese pizza,23.88,0.07,food,Existing Dataset
cheese fondue,23.88,0.032,food,Existing Dataset
cheese souffle,23.88,0.033,food,Existing Dataset
"cheese sandwich, nfs",23.88,0.084,food,Existing Dataset
"cheese sandwich, american cheese, on white bread, no spread",23.88,0.084,food,Existing Dataset
"cheese sandwich, american cheese, on wheat bread, no spread",23.88,0.123,food,Existing Dataset
"cheese sandwich, american cheese, on whole wheat bread, no spread",23.88,0.123,food,Existing Dataset
"cheese sandwich, cheddar cheese, on white bread, no spread",23.88,0.087,food,Existing Dataset
"cheese sandwich, cheddar cheese, on wheat bread, no spread",23.88,0.126,food,Existing Dataset
"cheese sandwich, cheddar cheese, on whole wheat bread, no spread",23.88,0.126,food,Existing Dataset
"cheese sandwich, reduced fat american cheese, on white bread, no spread",23.88,0.085,food,Existing Dataset
"cheese sandwich, reduced fat american cheese, on wheat bread, no spread",23.88,0.125,food,Existing Dataset
"cheese sandwich, reduced fat american cheese, on whole wheat bread, no spread",23.88,0.125,food,Existing Dataset
"cheese sandwich, reduced fat cheddar cheese, on white bread, no spread",23.88,0.091,food,Existing Dataset
"cheese sandwich, reduced fat cheddar cheese, on wheat bread, no spread",23.88,0.13,food,Existing Dataset
"cheese sandwich, reduced fat cheddar cheese, on whole wheat bread, no spread",23.88,0.13,food,Existing Dataset
"cheese sandwich, american cheese, on white bread, with mayonnaise",23.88,0.076,food,Existing Dataset
"cheese sandwich, american cheese, on wheat bread, with mayonnaise",23.88,0.111,food,Existing Dataset
"cheese sandwich, american cheese, on whole wheat bread, with mayonnaise",23.88,0.111,food,Existing Dataset
"cheese sandwich, cheddar cheese, on white bread, with mayonnaise",23.88,0.078,food,Existing Dataset
"cheese sandwich, cheddar cheese, on wheat bread, with mayonnaise",23.88,0.113,food,Existing Dataset
"cheese sandwich, cheddar cheese, on whole wheat bread, with mayonnaise",23.88,0.113,food,Existing Dataset
"cheese sandwich, reduced fat american cheese, on white bread, with mayonnaise",23.88,0.077,food,Existing Dataset
"cheese sandwich, reduced fat american cheese,, on wheat bread, with mayonnaise",23.88,0.112,food,Existing Dataset
"cheese sandwich, reduced fat american cheese, on whole wheat bread, with mayonnaise",23.88,0.112,food,Existing Dataset
"cheese sandwich, reduced fat cheddar cheese, on white bread, with mayonnaise",23.88,0.082,food,Existing Dataset
"cheese sandwich, reduced fat cheddar cheese, on wheat bread, with mayonnaise",23.88,0.117,food,Existing Dataset
"cheese sandwich, reduced fat cheddar cheese, on whole wheat bread, with mayonnaise",23.88,0.117,food,Existing Dataset
"cheese sandwich, american cheese, on white bread, with butter",23.88,0.074,food,Existing Dataset
"cheese sandwich, american cheese, on wheat bread, with butter",23.88,0.109,food,Existing Dataset
"cheese sandwich, american cheese, on whole wheat bread, with butter",23.88,0.109,food,Existing Dataset
"cheese sandwich, cheddar cheese, on white bread, with butter",23.88,0.076,food,Existing Dataset
"cheese sandwich, cheddar cheese, on wheat bread, with butter",23.88,0.111,food,Existing Dataset
"cheese sandwich, cheddar cheese, on whole wheat bread, with butter",23.88,0.111,food,Existing Dataset
"cheese sandwich, reduced fat american cheese, on white bread, with butter",23.88,0.075,food,Existing Dataset
"cheese sandwich, reduced fat american cheese, on wheat bread, with butter",23.88,0.11,food,Existing Dataset
"cheese sandwich, reduced fat american cheese, on whole wheat bread, with butter",23.88,0.11,food,Existing Dataset
"cheese sandwich, reduced fat cheddar cheese, on white bread, with butter",23.88,0.08,food,Existing Dataset
"cheese sandwich, reduced fat cheddar cheese, on wheat bread, with butter",23.88,0.114,food,Existing Dataset
"cheese sandwich, reduced fat cheddar cheese, on whole wheat bread, with butter",23.88,0.114,food,Existing Dataset
"grilled cheese sandwich, nfs",23.88,0.074,food,Existing Dataset
"grilled cheese sandwich, american cheese, on white bread",23.88,0.074,food,Existing Dataset
"grilled cheese sandwich, american cheese, on wheat bread",23.88,0.109,food,Existing Dataset
"grilled cheese sandwich, american cheese, on whole wheat bread",23.88,0.109,food,Existing Dataset
"grilled cheese sandwich, cheddar cheese, on white bread",23.88,0.076,food,Existing Dataset
"grilled cheese sandwich, cheddar cheese, on wheat bread",23.88,0.111,food,Existing Dataset
"grilled cheese sandwich, cheddar cheese, on whole wheat bread",23.88,0.111,food,Existing Dataset
"grilled cheese sandwich, reduced fat american cheese, on white bread",23.88,0.075,food,Existing Dataset
"grilled cheese sandwich, reduced fat american cheese, on wheat bread",23.88,0.11,food,Existing Dataset
"grilled cheese sandwich, reduced fat american cheese, on whole wheat bread",23.88,0.11,food,Existing Dataset
"grilled cheese sandwich, reduced fat cheddar cheese, on white bread",23.88,0.08,food,Existing Dataset
"grilled cheese sandwich, reduced fat cheddar cheese, on wheat bread",23.88,0.114,food,Existing Dataset
"grilled cheese sandwich, reduced fat cheddar cheese, on whole wheat bread",23.88,0.114,food,Existing Dataset
cheese sauce,23.88,0.023,food,Existing Dataset
"mozzarella cheese, tomato, and basil, with oil and vinegar dressing",23.88,0.056,food,Existing Dataset
"cheddar cheese soup, home recipe, canned or ready-to-serve",23.88,0.051,food,Existing Dataset
"beer cheese soup, made with milk",23.88,0.026,food,Existing Dataset
"meat, nfs",12.31,0.093,food,Existing Dataset
"meat, baby food, ns as to type, ns as to strained or junior",12.31,0.096,food,Existing Dataset
"beef, ns as to cut, cooked, ns as to fat eaten",27.0,0.083,food,Existing Dataset
"beef, ns as to cut, cooked, lean and fat eaten",27.0,0.079,food,Existing Dataset
"beef, ns as to cut, cooked, lean only eaten",27.0,0.083,food,Existing Dataset
"steak, ns as to type of meat, cooked, ns as to fat eaten",3.5,0.083,food,Existing Dataset
"steak, ns as to type of meat, cooked, lean and fat eaten",3.5,0.079,food,Existing Dataset
"steak, ns as to type of meat, cooked, lean only eaten",3.5,0.083,food,Existing Dataset
"beef, pickled",27.0,0.154,food,Existing Dataset
"beef, ns as to cut, fried, ns to fat eaten",27.0,0.083,food,Existing Dataset
"beef steak, ns as to cooking method, ns as to fat eaten",99.48,0.083,food,Existing Dataset
"beef steak, ns as to cooking method, lean and fat eaten",99.48,0.079,food,Existing Dataset
"beef steak, ns as to cooking method, lean only eaten",99.48,0.083,food,Existing Dataset
"beef steak, broiled or baked, ns as to fat eaten",99.48,0.083,food,Existing Dataset
"beef steak, broiled or baked, lean and fat eaten",99.48,0.079,food,Existing Dataset
"beef steak, broiled or baked, lean only eaten",99.48,0.083,food,Existing Dataset
"beef steak, fried, ns as to fat eaten",99.48,0.083,food,Existing Dataset
"beef steak, fried, lean and fat eaten",99.48,0.079,food,Existing Dataset
"beef steak, fried, lean only eaten",99.48,0.083,food,Existing Dataset
"beef steak, breaded or floured, baked or fried, ns as to fat eaten",99.48,0.086,food,Existing Dataset
"beef steak, breaded or floured, baked or fried, lean and fat eaten",99.48,0.085,food,Existing Dataset
"beef steak, breaded or floured, baked or fried, lean only eaten",99.48,0.086,food,Existing Dataset
"beef steak, battered, fried, ns as to fat eaten",99.48,0.061,food,Existing Dataset
"beef steak, battered, fried, lean and fat eaten",99.48,0.061,food,Existing Dataset
"beef steak, battered, fried, lean only eaten",99.48,0.062,food,Existing Dataset
"beef steak, braised, ns as to fat eaten",99.48,0.147,food,Existing Dataset
"beef steak, braised, lean and fat eaten",99.48,0.147,food,Existing Dataset
"beef steak, braised, lean only eaten",99.48,0.054,food,Existing Dataset
"beef, oxtails, cooked",27.0,0.147,food,Existing Dataset
"beef, neck bones, cooked",27.0,0.103,food,Existing Dataset
"beef, shortribs, cooked, ns as to fat eaten",27.0,0.106,food,Existing Dataset
"beef, shortribs, cooked, lean and fat eaten",27.0,0.098,food,Existing Dataset
"beef, shortribs, cooked, lean only eaten",27.0,0.106,food,Existing Dataset
"beef, shortribs, barbecued, with sauce, ns as to fat eaten",27.0,0.095,food,Existing Dataset
"beef, shortribs, barbecued, with sauce, lean and fat eaten",27.0,0.095,food,Existing Dataset
"beef, shortribs, barbecued, with sauce, lean only eaten",27.0,0.101,food,Existing Dataset
"beef, cow head, cooked",27.0,0.074,food,Existing Dataset
"beef, roast, roasted, ns as to fat eaten",27.0,0.063,food,Existing Dataset
"beef, roast, roasted, lean and fat eaten",27.0,0.059,food,Existing Dataset
"beef, roast, roasted, lean only eaten",27.0,0.056,food,Existing Dataset
"beef, roast, canned",27.0,0.119,food,Existing Dataset
"beef, pot roast, braised or boiled, ns as to fat eaten",27.0,0.147,food,Existing Dataset
"beef, pot roast, braised or boiled, lean and fat eaten",27.0,0.057,food,Existing Dataset
"beef, pot roast, braised or boiled, lean only eaten",27.0,0.147,food,Existing Dataset
"beef, stew meat, cooked, ns as to fat eaten",27.0,0.147,food,Existing Dataset
"beef, stew meat, cooked, lean and fat eaten",27.0,0.117,food,Existing Dataset
"beef, stew meat, cooked, lean only eaten",27.0,0.147,food,Existing Dataset
"corned beef, cooked, ns as to fat eaten",99.48,0.154,food,Existing Dataset
"corned beef, cooked, lean and fat eaten",99.48,0.154,food,Existing Dataset
"corned beef, cooked, lean only eaten",99.48,0.064,food,Existing Dataset
"corned beef, canned, ready-to-eat",99.48,0.064,food,Existing Dataset
"beef brisket, cooked, ns as to fat eaten",99.48,0.118,food,Existing Dataset
"beef brisket, cooked, lean and fat eaten",99.48,0.107,food,Existing Dataset
"beef brisket, cooked, lean only eaten",99.48,0.118,food,Existing Dataset
"beef, sandwich steak, flaked, formed, thinly sliced",27.0,0.073,food,Existing Dataset
"ground beef, raw",99.48,0.062,food,Existing Dataset
"ground beef, cooked",99.48,0.08,food,Existing Dataset
"ground beef patty, cooked",99.48,0.077,food,Existing Dataset
"beef, bacon, cooked",27.0,0.116,food,Existing Dataset
"beef, bacon, reduced sodium, cooked",27.0,0.164,food,Existing Dataset
"beef, dried, chipped, uncooked",27.0,0.074,food,Existing Dataset
"beef, dried, chipped, cooked in fat",27.0,0.067,food,Existing Dataset
beef jerky,99.48,0.227,food,Existing Dataset
"beef, baby food, ns as to strained or junior",27.0,0.148,food,Existing Dataset
"beef, baby food, strained",27.0,0.148,food,Existing Dataset
